customer_id,rating,comment
C244,3,"Fine for the price, mostly"
C149,5,"Nice design, easy to use"
C141,5,"Great product, works as expected"
C002,5,Does the job just fine
C096,5,"Solid build, would buy again"
C195,4,"Nice design, easy to use"
C041,5,"Exactly as described, thanks"
C209,3,It is okay I guess
C224,5,Does the job just fine
C233,5,Does the job just fine
C256,5,My whole family uses it daily
C184,4,Good value for the money
C114,3,It is okay I guess
C116,5,Good value for the money
C138,5,"Great product, works as expected"
C182,4,Does the job just fine
C089,2,"Unforgivable, the quality was crushing"
C079,5,Fast delivery and nice packaging
C134,5,Fast delivery and nice packaging
C258,4,"Great product, works as expected"
C042,2,"Wretched, the support was jarring"
C032,5,"Nice design, easy to use"
C029,4,"Arrived early, very happy with it"
C071,4,"Great product, works as expected"
C151,4,"Nice design, easy to use"
C064,5,Does the job just fine
C026,5,"Exactly as described, thanks"
C106,3,"Fine for the price, mostly"
C055,2,"Trashy, the refund was vexing"
C116,5,Fast delivery and nice packaging
C161,3,"Average, nothing special"
C246,4,"Exactly as described, thanks"
C156,4,"Solid build, would buy again"
C166,4,Good value for the money
C168,5,"Exactly as described, thanks"
C214,5,Good value for the money
C021,3,"Average, nothing special"
C105,4,"Solid build, would buy again"
C174,1,"Shoddy, the shipping was scandalous"
C037,5,"Arrived early, very happy with it"
C197,4,My whole family uses it daily
C026,4,"Nice design, easy to use"
C125,4,"Exactly as described, thanks"
C014,3,"Average, nothing special"
C163,5,My whole family uses it daily
C151,5,"Solid build, would buy again"
C188,4,Fast delivery and nice packaging
C138,5,Love it! Five stars from me
C101,5,Does the job just fine
C248,5,"Great product, works as expected"
C106,2,"Sad, the broken was indefensible"
C056,4,Does the job just fine
C045,5,My whole family uses it daily
C080,4,Fast delivery and nice packaging
C195,4,Love it! Five stars from me
C206,3,"Fine for the price, mostly"
C102,3,"Fine for the price, mostly"
C250,2,"Dreadful, the support was irritating"
C012,5,Does the job just fine
C158,2,"Dreadful, the shipping was wearying"
C173,4,Love it! Five stars from me
C183,5,Fast delivery and nice packaging
C180,4,"Exactly as described, thanks"
C160,5,"Arrived early, very happy with it"
C181,3,"Average, nothing special"
C064,3,"Average, nothing special"
C108,5,"Solid build, would buy again"
C099,5,My whole family uses it daily
C196,4,Love it! Five stars from me
C247,2,"Wretched, the refund was unacceptable"
C211,5,My whole family uses it daily
C198,5,"Solid build, would buy again"
C198,5,"Solid build, would buy again"
C255,2,"Amateurish, the shipping was disgraceful"
C166,1,"Shabby, the shipping was irritating"
C016,4,"Solid build, would buy again"
C077,2,"Woeful, the shipping was shocking"
C075,5,My whole family uses it daily
C124,4,My whole family uses it daily
C210,2,"Sad, the refund was inexcusable"
C067,2,"Lousy, the refund was wearying"
C029,4,"Nice design, easy to use"
C050,2,"Grim, the broken was crushing"
C152,4,"Solid build, would buy again"
C222,5,"Nice design, easy to use"
C087,3,"Fine for the price, mostly"
C035,2,"Maddening, the refund was irritating"
C044,4,"Arrived early, very happy with it"
C032,,"Fine for the price, mostly"
C026,3,It is okay I guess
C041,2,"Sorry, the refund was dispiriting"
C048,5,Love it! Five stars from me
C007,5,"Exactly as described, thanks"
C013,4,Does the job just fine
C036,5,Does the job just fine
C256,4,Fast delivery and nice packaging
C193,3,"Average, nothing special"
C069,3,It is okay I guess
C199,2,"Sloppy, the broken was disheartening"
C068,4,My whole family uses it daily
C059,5,Does the job just fine
C078,4,"Arrived early, very happy with it"
C215,4,Love it! Five stars from me
C167,5,"Solid build, would buy again"
C090,5,Good value for the money
C192,2,"Abysmal, the shipping was egregious"
C053,3,It is okay I guess
